Time,Channel B
(ms),(V)

73.40031955,-70.42146000
73.44127955,-74.98398000
73.48223955,-74.98398000
73.52319955,-79.53123000
73.56415955,-84.07849000
73.60511955,-84.07849000
73.64607955,-88.64101000
73.68703955,-93.18827000
73.72799955,-93.18827000
73.76895955,-97.73553000
73.80991955,-102.29800000
73.85087955,-106.84530000
73.89183955,-106.84530000
73.93279955,-106.84530000
73.97375955,-111.40780000
74.01471955,-111.40780000
74.05567955,-115.95510000
74.09663955,-120.50230000
74.13759955,-120.50230000
74.17855955,-125.06480000
74.21951955,-125.06480000
74.26047955,-129.61210000
74.30143955,-129.61210000
74.34239955,-129.61210000
74.38335955,-134.15940000
74.42431955,-134.15940000
74.46527955,-138.72190000
74.50623955,-143.26910000
74.54719955,-143.26910000
74.58815955,-143.26910000
74.62911955,-143.26910000
74.67007955,-147.81640000
74.71103955,-147.81640000
74.75199955,-152.37890000
74.79295955,-152.37890000
74.83391955,-152.37890000
74.87487954,-156.92620000
74.91583954,-156.92620000
74.95679954,-161.48870000
74.99775954,-166.03590000
75.03871954,-166.03590000
75.07967954,-166.03590000
75.12063954,-166.03590000
75.16159954,-170.58320000
75.20255954,-175.14570000
75.24351954,-175.14570000
75.28447954,-175.14570000
75.32543954,-179.69300000
75.36639954,-179.69300000
75.40735954,-179.69300000
75.44831954,-184.24020000
75.48927954,-184.24020000
75.53023954,-184.24020000
75.57119954,-184.24020000
75.61215954,-188.80270000
75.65311954,-188.80270000
75.69407954,-188.80270000
75.73503954,-193.35000000
75.77599954,-193.35000000
75.81695954,-193.35000000
75.85791954,-193.35000000
75.89887954,-197.89730000
75.93983954,-197.89730000
75.98079954,-197.89730000
76.02175954,-197.89730000
76.06271954,-202.45980000
76.10367954,-202.45980000
76.14463954,-202.45980000
76.18559954,-202.45980000
76.22655954,-202.45980000
76.26751954,-202.45980000
76.30847954,-207.00700000
76.34943954,-207.00700000
76.39039954,-207.00700000
76.43135954,-211.55430000
76.47231954,-211.55430000
76.51327953,-211.55430000
76.55423953,-211.55430000
76.59519953,-211.55430000
76.63615953,-216.11680000
76.67711953,-216.11680000
76.71807953,-216.11680000
76.75903953,-216.11680000
76.79999953,-216.11680000
76.84095953,-216.11680000
76.88191953,-216.11680000
76.92287953,-216.11680000
76.96383953,-216.11680000
77.00479953,-216.11680000
77.04575953,-216.11680000
77.08671953,-216.11680000
77.12767953,-216.11680000
77.16863953,-220.66410000
77.20959953,-220.66410000
77.25055953,-216.11680000
77.29151953,-220.66410000
77.33247953,-220.66410000
77.37343953,-220.66410000
77.41439953,-220.66410000
77.45535953,-216.11680000
77.49631953,-216.11680000
77.53727953,-216.11680000
77.57823953,-216.11680000
77.61919953,-216.11680000
77.66015953,-216.11680000
77.70111953,-216.11680000
77.74207953,-216.11680000
77.78303953,-216.11680000
77.82399953,-216.11680000
77.86495953,-216.11680000
77.90591953,-216.11680000
77.94687953,-216.11680000
77.98783953,-211.55430000
78.02879953,-216.11680000
78.06975953,-211.55430000
78.11071953,-211.55430000
78.15167953,-211.55430000
78.19263952,-207.00700000
78.23359952,-207.00700000
78.27455952,-207.00700000
78.31551952,-211.55430000
78.35647952,-207.00700000
78.39743952,-207.00700000
78.43839952,-207.00700000
78.47935952,-202.45980000
78.52031952,-202.45980000
78.56127952,-202.45980000
78.60223952,-202.45980000
78.64319952,-202.45980000
78.68415952,-202.45980000
78.72511952,-197.89730000
78.76607952,-202.45980000
78.80703952,-197.89730000
78.84799952,-197.89730000
78.88895952,-193.35000000
78.92991952,-193.35000000
78.97087952,-193.35000000
79.01183952,-193.35000000
79.05279952,-188.80270000
79.09375952,-188.80270000
79.13471952,-184.24020000
79.17567952,-184.24020000
79.21663952,-184.24020000
79.25759952,-184.24020000
79.29855952,-179.69300000
79.33951952,-175.14570000
79.38047952,-175.14570000
79.42143952,-175.14570000
79.46239952,-170.58320000
79.50335952,-170.58320000
79.54431952,-166.03590000
79.58527952,-161.48870000
79.62623952,-166.03590000
79.66719952,-161.48870000
79.70815952,-156.92620000
79.74911952,-156.92620000
79.79007952,-152.37890000
79.83103951,-152.37890000
79.87199951,-147.81640000
79.91295951,-147.81640000
79.95391951,-147.81640000
79.99487951,-143.26910000
80.03583951,-138.72190000
80.07679951,-138.72190000
80.11775951,-134.15940000
80.15871951,-134.15940000
80.19967951,-134.15940000
80.24063951,-129.61210000
80.28159951,-129.61210000
80.32255951,-125.06480000
80.36351951,-125.06480000
80.40447951,-125.06480000
80.44543951,-120.50230000
80.48639951,-115.95510000
80.52735951,-111.40780000
80.56831951,-111.40780000
80.60927951,-111.40780000
80.65023951,-111.40780000
80.69119951,-106.84530000
80.73215951,-102.29800000
80.77311951,-97.73553000
80.81407951,-93.18827000
80.85503951,-93.18827000
80.89599951,-93.18827000
80.93695951,-88.64101000
80.97791951,-84.07849000
81.01887951,-84.07849000
81.05983951,-84.07849000
81.10079951,-79.53123000
81.14175951,-74.98398000
81.18271951,-70.42146000
81.22367951,-70.42146000
81.26463951,-65.87420000
81.30559951,-65.87420000
81.34655951,-61.32695000
81.38751951,-56.76443000
81.42847951,-56.76443000
81.46943950,-52.21717000
81.51039950,-52.21717000
81.55135950,-47.66991000
81.59231950,-47.66991000
81.63327950,-47.66991000
81.67423950,-43.10740000
81.71519950,-38.56014000
81.75615950,-38.56014000
81.79711950,-33.99762000
81.83807950,-33.99762000
81.87903950,-33.99762000
81.91999950,-29.45036000
81.96095950,-29.45036000
82.00191950,-24.90310000
82.04287950,-20.34059000
82.08383950,-20.34059000
82.12479950,-15.79333000
82.16575950,-11.24607000
82.20671950,-11.24607000
82.24767950,-11.24607000
82.28863950,-6.68355400
82.32959950,-2.13629600
82.37055950,-2.13629600
82.41151950,2.41096200
82.45247950,2.41096200
82.49343950,6.97348000
82.53439950,6.97348000
82.57535950,6.97348000
82.61631950,6.97348000
82.65727950,6.97348000
82.69823950,6.97348000
82.73919950,6.97348000
82.78015950,6.97348000
82.82111950,6.97348000
82.86207950,25.16251000
82.90303950,29.72503000
82.94399950,34.27229000
82.98495950,38.81955000
83.02591950,38.81955000
83.06687950,43.38206000
83.10783949,47.92932000
83.14879949,52.47658000
83.18975949,57.03909000
83.23071949,57.03909000
83.27167949,61.58635000
83.31263949,61.58635000
83.35359949,66.13361000
83.39455949,70.69613000
83.43551949,75.24339000
83.47647949,75.24339000
83.51743949,79.80591000
83.55839949,79.80591000
83.59935949,84.35316000
83.64031949,88.90041000
83.68127949,88.90041000
83.72223949,93.46294000
83.76319949,93.46294000
83.80415949,98.01019000
83.84511949,102.55750000
83.88607949,102.55750000
83.92703949,107.12000000
83.96799949,107.12000000
84.00895949,111.66720000
84.04991949,111.66720000
84.09087949,116.21450000
84.13183949,120.77700000
84.17279949,120.77700000
84.21375949,120.77700000
84.25471949,120.77700000
84.29567949,125.32430000
84.33663949,129.87150000
84.37759949,129.87150000
84.41855949,134.43400000
84.45951949,134.43400000
84.50047949,134.43400000
84.54143949,138.98130000
84.58239949,143.54380000
84.62335949,143.54380000
84.66431949,143.54380000
84.70527949,143.54380000
84.74623948,148.09110000
84.78719948,152.63830000
84.82815948,152.63830000
84.86911948,152.63830000
84.91007948,157.20080000
84.95103948,157.20080000
